down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,go_for_it
4.0,6,43.0,2287.0,-4.0,2,0
4.0,12,70.0,2190.0,4.0,2,0
4.0,1,61.0,2048.0,-4.0,2,0
4.0,10,21.0,1828.0,4.0,2,0
4.0,7,20.0,1543.0,4.0,3,0
4.0,4,50.0,1410.0,-7.0,3,0
4.0,1,19.0,1074.0,7.0,3,0
4.0,10,44.0,971.0,-7.0,3,0
4.0,28,98.0,605.0,-14.0,4,0
4.0,3,73.0,421.0,-21.0,4,0
4.0,3,32.0,113.0,21.0,4,1
4.0,6,67.0,3489.0,0.0,1,0
4.0,1,1.0,3002.0,0.0,1,1
4.0,3,63.0,2914.0,-7.0,1,0
4.0,9,59.0,2390.0,-7.0,2,0
4.0,10,61.0,2188.0,7.0,2,0
4.0,10,80.0,1756.0,0.0,3,0
4.0,18,73.0,1690.0,0.0,3,0
4.0,10,69.0,1552.0,0.0,3,0
4.0,5,60.0,1330.0,0.0,3,0
4.0,8,73.0,1044.0,-7.0,3,0
4.0,17,20.0,702.0,7.0,4,0
4.0,2,25.0,203.0,0.0,4,0
4.0,2,26.0,20.0,0.0,4,0
4.0,2,69.0,3521.0,0.0,1,0
4.0,9,12.0,3243.0,0.0,1,0
4.0,8,73.0,2890.0,-4.0,1,0
4.0,9,9.0,2616.0,2.0,2,0
4.0,5,38.0,2126.0,-2.0,2,0
4.0,7,92.0,2026.0,2.0,2,0
4.0,6,54.0,1917.0,-2.0,2,0
4.0,7,11.0,1583.0,2.0,3,0
4.0,4,50.0,1463.0,-2.0,3,0
4.0,2,45.0,1274.0,2.0,3,0
4.0,4,74.0,1024.0,-5.0,3,0
4.0,7,80.0,755.0,-2.0,4,0
4.0,5,18.0,462.0,2.0,4,0
4.0,9,56.0,3054.0,0.0,1,0
4.0,9,27.0,2606.0,0.0,2,0
4.0,5,25.0,2360.0,-3.0,2,0
4.0,15,55.0,2091.0,0.0,2,0
4.0,3,80.0,1998.0,0.0,2,0
4.0,2,27.0,1847.0,0.0,2,0
4.0,7,31.0,1423.0,0.0,3,0
4.0,11,61.0,1340.0,0.0,3,0
4.0,3,27.0,235.0,0.0,4,0
4.0,10,42.0,22.0,-4.0,4,1
4.0,1,9.0,3345.0,0.0,1,1
4.0,9,63.0,3151.0,-7.0,1,0
4.0,16,18.0,2781.0,7.0,1,0
4.0,6,44.0,2600.0,-10.0,2,0
4.0,12,15.0,2142.0,10.0,2,0
4.0,1,60.0,2015.0,-13.0,2,0
4.0,9,59.0,1661.0,20.0,3,0
4.0,12,12.0,900.0,-27.0,4,0
4.0,3,64.0,637.0,-24.0,4,0
4.0,12,80.0,530.0,24.0,4,0
4.0,10,47.0,259.0,31.0,4,0
4.0,6,86.0,176.0,-31.0,4,0
4.0,6,48.0,36.0,31.0,4,0
4.0,3,67.0,3026.0,-14.0,1,0
4.0,6,53.0,2846.0,14.0,1,0
4.0,13,81.0,2768.0,-14.0,1,0
4.0,5,69.0,2267.0,7.0,2,0
4.0,7,33.0,2091.0,-7.0,2,1
4.0,10,66.0,2072.0,7.0,2,0
4.0,9,44.0,1924.0,7.0,2,0
4.0,10,20.0,1813.0,-7.0,2,0
4.0,17,85.0,1478.0,-3.0,3,0
4.0,7,50.0,1418.0,3.0,3,0
4.0,11,81.0,1329.0,-3.0,3,0
4.0,5,71.0,1116.0,-4.0,3,0
4.0,7,44.0,912.0,4.0,3,0
4.0,11,88.0,818.0,-4.0,4,0
4.0,8,12.0,701.0,4.0,4,0
4.0,8,45.0,602.0,-7.0,4,0
4.0,5,75.0,506.0,7.0,4,0
4.0,10,69.0,452.0,-7.0,4,0
4.0,10,57.0,180.0,7.0,4,0
4.0,23,67.0,114.0,-7.0,4,1
4.0,7,72.0,3378.0,0.0,1,0
4.0,1,1.0,3134.0,0.0,1,1
4.0,1,55.0,2643.0,-7.0,2,0
4.0,11,20.0,2314.0,7.0,2,0
4.0,1,68.0,2226.0,-10.0,2,0
4.0,8,8.0,1802.0,10.0,2,0
4.0,4,59.0,1457.0,6.0,3,0
4.0,14,50.0,1218.0,6.0,3,0
4.0,13,83.0,1074.0,-6.0,3,0
4.0,1,47.0,920.0,6.0,3,0
4.0,14,53.0,731.0,-6.0,4,0
4.0,15,90.0,669.0,6.0,4,0
4.0,3,44.0,554.0,-6.0,4,0
4.0,8,53.0,72.0,5.0,4,0
4.0,2,33.0,3159.0,0.0,1,0
4.0,10,45.0,2995.0,-3.0,1,0
4.0,12,91.0,2900.0,3.0,1,0
4.0,8,38.0,2354.0,-3.0,2,0
4.0,6,76.0,2294.0,3.0,2,0
4.0,1,16.0,1867.0,-3.0,2,1
