down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,8,9.0,956.0,-9.0,3,WAS,field_goal,0.2737560670528336,0.1214819285536501,0
4.0,3,27.0,668.0,6.0,4,NYG,field_goal,0.7865164879222013,1.130448572836063,0
4.0,5,57.0,570.0,-9.0,4,WAS,punt,0.1512851075935126,-0.6167639863778336,0
4.0,7,10.0,202.0,9.0,4,NYG,field_goal,0.9573808952315704,0.1342917484878709,0
4.0,8,31.0,3404.0,0.0,1,GB,field_goal,0.5297402899931847,-3.622867122235226,0
4.0,8,59.0,3354.0,0.0,1,CHI,punt,0.4599194725845858,0.3321647334166977,0
4.0,12,60.0,3146.0,0.0,1,GB,punt,0.461980335738732,0.8059449761575743,0
4.0,5,52.0,2869.0,0.0,1,GB,punt,0.4832319358333611,-0.5183027883917799,0
4.0,3,73.0,2770.0,0.0,1,CHI,punt,0.4291225251962023,-0.8568584339270393,0
4.0,9,58.0,2700.0,0.0,2,GB,punt,0.4519669847139799,0.0929870554537575,0
4.0,3,73.0,2602.0,0.0,2,CHI,punt,0.4269079569474683,0.679928285847802,0
4.0,11,34.0,2302.0,0.0,2,GB,field_goal,0.5233281091119633,1.8805318982551185,0
4.0,2,61.0,1912.0,-8.0,2,CHI,punt,0.2520012140378719,-0.8432366918044546,0
4.0,5,84.0,1854.0,8.0,2,GB,punt,0.7586439191821445,-1.1812450247104236,0
4.0,14,49.0,1804.0,-8.0,2,CHI,pass,0.2546034605631439,-0.2421195734075213,1
4.0,1,37.0,1560.0,-8.0,3,CHI,run,0.2779839166215023,2.223794431122518,1
4.0,19,66.0,1431.0,1.0,3,GB,punt,0.456376753724438,-0.1804078165091558,0
4.0,21,29.0,1135.0,-1.0,3,CHI,field_goal,0.5110175449587661,1.3245218243937265,0
4.0,19,55.0,890.0,-2.0,4,GB,punt,0.3810927435768567,-0.6916547242899671,0
4.0,11,74.0,763.0,2.0,4,CHI,run,0.728014087193468,0.0,1
4.0,1,21.0,614.0,-2.0,4,GB,field_goal,0.4828229427221049,0.6771605441108552,0
4.0,3,3.0,158.0,-1.0,4,CHI,field_goal,0.6678637894959593,0.036326448902177,0
4.0,1,40.0,3519.0,0.0,1,NE,run,0.5192670069305734,-3.502182769061041,1
4.0,12,62.0,3445.0,0.0,1,BUF,punt,0.4448788940527605,1.2724425577074827,0
4.0,2,24.0,3082.0,0.0,1,NE,field_goal,0.5574937448572198,-3.7056060430880513,0
4.0,16,74.0,2797.0,-7.0,1,NE,punt,0.1959127854351727,0.9638641521173136,0
4.0,5,56.0,2621.0,7.0,2,BUF,punt,0.6945386546339529,-1.0015606611910617,0
4.0,10,63.0,2028.0,0.0,2,BUF,punt,0.4599991919387701,-0.7702088475756107,0
4.0,2,2.0,1805.0,-6.0,2,NE,field_goal,0.398906235510138,0.0276137986367071,0
4.0,3,52.0,1683.0,3.0,3,BUF,punt,0.584210783841248,1.3504935249055334,0
4.0,2,36.0,1260.0,-3.0,3,NE,pass,0.4317290275810233,-3.504801809954289,1
4.0,4,22.0,1057.0,3.0,3,BUF,field_goal,0.6659014100347667,0.7637598172076041,0
4.0,5,11.0,707.0,-6.0,4,NE,field_goal,0.3525874784114762,0.1544492039225371,0
4.0,4,65.0,3271.0,0.0,1,SD,punt,0.4532580195699084,1.207247120720775,0
4.0,5,71.0,2030.0,0.0,2,OAK,punt,0.4527848192724124,0.7390546998198879,0
4.0,10,87.0,1954.0,0.0,2,SD,punt,0.4797610548666833,0.060089633960797,0
4.0,5,19.0,1843.0,0.0,2,OAK,field_goal,0.5924087627071368,0.4715210772798337,0
4.0,11,64.0,1462.0,0.0,3,OAK,punt,0.4371824578402591,1.222151246483656,0
4.0,18,90.0,1398.0,0.0,3,SD,punt,0.372848443702723,0.1557786499144198,0
4.0,5,43.0,1301.0,0.0,3,OAK,punt,0.5058675509184943,-1.2390875140183109,0
4.0,23,80.0,1158.0,0.0,3,SD,punt,0.3952072802495938,1.5609550506878866,0
4.0,6,69.0,1096.0,0.0,3,OAK,punt,0.4203985239592318,-0.1748454303118862,0
4.0,13,70.0,1011.0,0.0,3,SD,punt,0.4230229528639332,0.1723528726754335,0
4.0,6,17.0,822.0,0.0,4,OAK,field_goal,0.5670010899391944,0.3744037610522084,0
4.0,14,57.0,161.0,-4.0,4,OAK,pass,0.2238689281162039,7.251718491267684,1
4.0,7,20.0,3293.0,0.0,1,CAR,field_goal,0.5457655040284217,0.5874094271408401,0
4.0,7,48.0,3160.0,-3.0,1,ATL,punt,0.4225345154931791,0.7959582909500642,0
4.0,9,94.0,3102.0,3.0,1,CAR,punt,0.4710616929448201,0.7349251408427202,0
4.0,16,43.0,2806.0,3.0,1,CAR,punt,0.577433488974014,-3.505216889346155,0
